text,true_label,emotional_rae_prediction,emotional_rae_response,dominant_emotion,emotion_intensity,inference_time
Democrats rang up a $1.42 trillion budget deficit in 2009 the single largest in American history.,0,0,"Real

REASONING:
1. Textual Content Analysis: The statement rings up a $1.42 trillion budget deficit in 2009, which is the single largest in American history. This indicates that the statement is likely true based on the known facts about the US government's fiscal situation at the time.

2. Emotional Pattern Recognition: The statement features high anger/fear combined with low neutrality, indicating that it may be a case of emotional manipulation by the author. The use of strong negative language such as ""explosive,"" ""trillion,"" and ""debt"" also suggests that the statement was intended to create fear and panic among readers.

3. Misinformation Signature Detection: The statement identifies a $1.42 trillion budget deficit in 2009, which is consistent with the known facts",neutral,0.736316041,14.02459788
"What we said was, you can keep (your plan) if it hasnt changed since the law passed.",1,1,"REASONING: Based on a comparison between the textual content and similar training examples, the statement is likely to be a FAKE. The statement contains strong indicators of misinformation, including high anger and extreme emotional intensity. Additionally, the statement mentions the passage of a transportation referendum, which suggests that it may contain false information about the referendum's outcome. The statement also features a lack of Plan B options and a focus on fear mongering, which further supports its fake nature.",sadness,0.806408493,6.436749935
North Carolina spent almost as much as it spends on government rape crisis programs in a year to convene a special session for HB2.,1,0,"Real
REASONING: The statement contains strong indicators of real information, including balanced emotions and moderate intensity. It also highlights the use of surprise as the dominant emotion, which suggests that there may be some uncertainty or confusion surrounding the topic. Additionally, the use of anger and fear in the text provides further evidence of its authenticity. However, the use of extreme emotions like joy and sadness could indicate potential manipulation tactics.",surprise,0.944617063,8.115659714
There are over 200 documented cases where (Obama) has lied.,1,1,"Real (FAKE)
Reasoning: The statement ""there are over 200 documented cases where Obama has lied"" is highly likely to be false due to its extreme emotional intensity, particularly the mention of multiple contradictory claims made by Obama regarding his past, which suggests that it may have been fabricated or intentionally distorted. Additionally, the use of sadness and surprise emotions suggest that there may be a deliberate attempt to manipulate the audience's emotions towards a negative outcome.",joy,0.893500687,4.450685024
"I joined the Gang of 14, seven Republicans, seven Democrats, so that we wouldn't blow up the United States Senate. Sen. Obama had the opportunity to join that group. He chose not to.",0,0,"Real

REASONING:
The statement ""I joined the Gang of 14, seven Republicans, seven Democrats, so that we wouldn't blow up the United States Senate. Sen. Obama had the opportunity to join that group. He chose not to,"" contains strong indications of emotional context and manipulative tactics. The use of fear and anger in the opening sentence highlights the speaker's frustration with the senator's decision to remain silent rather than joining the Gang of 14. Additionally, the mention of Sen. Obama choosing not to join the group suggests that he may have been influenced by his political affiliation. These factors suggest that the statement is likely a deliberate attempt at misleading the audience into believing that Sen. Obama did not support the Gang of 14. The overall emotional tone is neutral, indicating that there is no clear dominant emotion present. However, the use of anger",neutral,0.597296415,6.72004652
Says Pope Francis took the name of a saint who basically reached out to Muslims.,0,1,"REASONING: 
The statement ""Says Pope Francis took the name of a saint who basically reached out to Muslims"" is a FAKE due to its high level of anger and fear, along with the use of the word ""basically"" which suggests it may not be entirely true. This sentiment is commonly found in misinformation, particularly during times of political unrest or conflict. Additionally, the statement contains a strong emphasis on the importance of reaching out to Muslim communities, suggesting a lack of understanding about their beliefs and practices. Overall, the combination of textual and emotional evidence points towards a FAKE label.",neutral,0.417152247,4.168995142
"The national debt increased $16,000 every secondGeorge Allen served in theU.S. Senate.",0,1,"REASONING: Based on the given text material, we can conclude that the statement ""The national debt increased $16,000 every second George Allen served in the U.S. Senate"" is a FAKE due to its high level of anger and fear, along with a lack of balance in emotional intensity. The statement also contains several manipulative tactics such as rage-baiting and fear-mongering, which indicate a deliberate attempt to create fear and panic among the audience. Additionally, the use of emotive language like ""doubled,"" ""increased,"" and ""added"" further reinforces the message of alarm and urgency. Overall, the combination of textual and emotional evidence points towards a clear case of misinformation and propaganda.",sadness,0.431800088,5.739447594
"Obama ""hasn't been to Iraq in years.""",0,1,"REASONING: Based on the textual content and emotional patterns analyzed, we conclude that the statement ""Obama hasn't been to Iraq in years"" is likely a falsehood. The high anger and fear intensity along with balanced emotional intensity suggest it may be a deliberate attempt at misleading voters. Additionally, the lack of mention of any specific timeframe for withdrawal suggests that the author may be intentionally omitting crucial information. Furthermore, the use of the word ""timelines"" suggests a potential connection to the Iraq War, which has long since ended. Overall, the combination of textual and emotional evidence points towards a clear misrepresentation of facts.",neutral,0.344862441,4.540190697
We have the highest (corporate tax rates) in the world right now.,0,0,"Real
REASONING: The text material contains high levels of anger and fear, which aligns with typical signs of fake news. Additionally, the statement highlights a high corporate tax rate that may indicate a deliberate attempt to manipulate public opinion towards a particular political agenda. The overall emotional profile suggests a high level of emotional risk, indicating potential manipulation tactics.",neutral,0.789497543,2.506181955
Says IBM leader told Obama that using IBM technology to cut fraud could pay for health care reform.,0,1,"REASONING: 
The statement ""Says IBM leader told Obama that using IBM technology to cut fraud could pay for health care reform"" falls under the category of FAKE due to its high levels of anger and fear, along with a lack of balance in emotional intensity. The statement also contains manipulative tactics such as rage-baiting and fear-mongering, which further reinforce the falsehood. In terms of emotional context, the statement's use of negative language (""cutting"") and the reference to IBM technology suggest a potential attempt at deception. Additionally, the statement's mention of losing thousands of jobs in the US suggests a possible motive for falsifying information. Overall, the statement presents a clear case of emotional misinformation.",neutral,0.719638348,5.693730831
