text,label,domain,speaker,context,emotion_anger,emotion_disgust,emotion_fear,emotion_joy,emotion_neutral,emotion_sadness,emotion_surprise,dominant_emotion,emotion_intensity
Says Barack Obama wants to create a civilian national security force that is just as powerful as our military.,1,"military,obama",sarah-palin,a fundraising letter,0.036199457943439484,0.04443502053618431,0.009898105636239052,0.009803757071495056,0.7675986289978027,0.09456770122051239,0.037497226148843765,neutral,0.7675986289978027
"When I was governor, we created more jobs in Massachusetts than any other state in the country.",0,jobs,mitt-romney,the second presidential debate,0.022533953189849854,0.04498444125056267,0.006472182925790548,0.5409238338470459,0.31974735856056213,0.005609664600342512,0.059728559106588364,joy,0.5409238338470459
Says the Affordable Care Act will cut Medicare by 500 billion and hurt seniors.,1,"health-care,medicare",mitt-romney,a campaign advertisement,0.07718126475811005,0.07218398153781891,0.009510086849331856,0.0020144155714660883,0.10773175954818726,0.7221403121948242,0.00923809316009283,sadness,0.7221403121948242
The unemployment rate when I took office was 10.6 percent. Today its 7.8 percent.,0,"economy,jobs",barack-obama,remarks at a campaign event,0.008776313625276089,0.012632766738533974,0.011587248183786869,0.006597478874027729,0.5012941360473633,0.1974300593137741,0.26168200373649597,neutral,0.5012941360473633
We have a president that doesnt know hes African-American.,0,candidates-biography,donald-trump,an interview on CNN,0.010923177935183048,0.029656950384378433,0.005983856972306967,0.0031942445784807205,0.46609970927238464,0.01342655811458826,0.4707155227661133,surprise,0.4707155227661133
Crime is rising across America in major cities.,1,crime,donald-trump,a speech in Milwaukee,0.05521536245942116,0.048128463327884674,0.7255610823631287,0.0014873617328703403,0.12386870384216309,0.0349106602370739,0.010828369297087193,fear,0.7255610823631287
Solar panel costs have dropped more than 80 percent since 2008.,0,"energy,environment",hillary-clinton,a speech on clean energy,0.008349851705133915,0.007831089198589325,0.002548416843637824,0.03855258598923683,0.8789058327674866,0.015503899194300175,0.048308394849300385,neutral,0.8789058327674866
ISIS is honoring President Obama for his weak foreign policy.,1,"terrorism,foreign-policy",donald-trump,a rally in Grand Rapids,0.04603015258908272,0.0744413509964943,0.003619616851210594,0.07573091238737106,0.7615846991539001,0.024030180647969246,0.014563011936843395,neutral,0.7615846991539001
Manufacturing jobs grew at the fastest rate in more than 20 years under our administration.,0,"jobs,economy",joe-biden,a speech in Detroit,0.014436583034694195,0.026262104511260986,0.01109567005187273,0.08699104934930801,0.7237024903297424,0.009426108561456203,0.12808601558208466,neutral,0.7237024903297424
Vaccination is causing a tremendous increase in autism in children.,1,"health-care,vaccines",donald-trump,a Republican primary debate,0.05050905793905258,0.7356798648834229,0.08553453534841537,0.0015218930784612894,0.084492027759552,0.03823895752429962,0.004023679997771978,disgust,0.7356798648834229
We spend more on illegal immigrants than we do on our veterans.,0,"immigration,veterans",ted-cruz,a town hall meeting,0.054772309958934784,0.13969027996063232,0.009837681427598,0.0023375300224870443,0.7365708947181702,0.05255458131432533,0.004236750770360231,neutral,0.7365708947181702
"The typical working family has seen their income go up over 4,000 over the last eight years.",0,"economy,income",barack-obama,a farewell address,0.01158353965729475,0.0078351441770792,0.0034707696177065372,0.005941372364759445,0.8468373417854309,0.016015654429793358,0.10831617563962936,neutral,0.8468373417854309
The murder rate in our country is the highest its been in 47 years.,1,crime,donald-trump,a speech to Congress,0.10676398873329163,0.35662341117858887,0.156930610537529,0.0027632287237793207,0.16664481163024902,0.1823878437280655,0.027886098250746727,disgust,0.35662341117858887
We have the highest tax rate anywhere in the world for businesses.,1,"taxes,economy",donald-trump,a campaign rally,0.011468994431197643,0.02603931352496147,0.0026353292632848024,0.007406610529869795,0.9223968386650085,0.01745728589594364,0.012595596723258495,neutral,0.9223968386650085
Climate change is real and is caused primarily by human activity and greenhouse gases.,0,"environment,climate-change",hillary-clinton,a presidential debate,0.164309561252594,0.09896103292703629,0.22287441790103912,0.006350817624479532,0.3795783817768097,0.10760457068681717,0.020321164280176163,neutral,0.3795783817768097
The concept of global warming was created by and for the Chinese to hurt US manufacturing.,1,"environment,china",donald-trump,a tweet,0.41883912682533264,0.3847104012966156,0.01460576243698597,0.0019068984547629952,0.13251404464244843,0.04444236308336258,0.002981379395350814,anger,0.41883912682533264
More Americans have health insurance today than ever before in our history.,0,"health-care,insurance",barack-obama,a health care event,0.004836152773350477,0.002468719147145748,0.007362292613834143,0.04298330843448639,0.875715434551239,0.010508679784834385,0.05612548440694809,neutral,0.875715434551239
Planned Parenthood is selling baby parts for profit to medical researchers.,1,"abortion,health-care",marco-rubio,a Republican primary debate,0.026005173102021217,0.9550554156303406,0.00201205862686038,0.001472999225370586,0.01049807295203209,0.004134078975766897,0.0008222091128118336,disgust,0.9550554156303406
Border apprehensions are at a 40-year low under this administration.,0,"immigration,border-security",barack-obama,a speech on immigration,0.010750913992524147,0.015594645403325558,0.23879969120025635,0.004321229178458452,0.698138415813446,0.014984453096985817,0.017410680651664734,neutral,0.698138415813446
ISIS formed during the Obama administration because of weak leadership.,1,"terrorism,obama",donald-trump,a presidential debate,0.1562638282775879,0.16672761738300323,0.5322259068489075,0.004218657501041889,0.10886211693286896,0.017301691696047783,0.014400135725736618,fear,0.5322259068489075
Weve cut the federal deficit by more than half since I took office.,0,"federal-budget,deficit",barack-obama,the State of the Union address,0.028121458366513252,0.02922721765935421,0.005676670931279659,0.04503480717539787,0.8240562081336975,0.06171976774930954,0.006163830868899822,neutral,0.8240562081336975
We are the only advanced country that doesnt guarantee paid family leave for workers.,0,"families,labor",hillary-clinton,a campaign speech,0.0065658376552164555,0.008826659992337227,0.00354146515019238,0.00419671181589365,0.9070786237716675,0.039486583322286606,0.03030412457883358,neutral,0.9070786237716675
I watched thousands of people celebrating on 911 in New Jersey when the towers came down.,1,"terrorism,candidates-biography",donald-trump,a campaign rally,0.0030993283726274967,0.0038309404626488686,0.002232045168057084,0.9628371596336365,0.016505829989910126,0.0034379027783870697,0.00805675145238638,joy,0.9628371596336365
"Under Obamacare, insurance premiums have doubled for working families.",1,"health-care,obamacare",paul-ryan,a press conference,0.055981967598199844,0.021173160523176193,0.04154403880238533,0.022995194420218468,0.6523335576057434,0.060545969754457474,0.14542610943317413,neutral,0.6523335576057434
The wealthiest Americans pay a lower effective tax rate than middle-class families.,0,"taxes,inequality",bernie-sanders,a Democratic primary debate,0.019933676347136497,0.07866895198822021,0.002386931562796235,0.06983649730682373,0.7938598394393921,0.025281593203544617,0.010032451711595058,neutral,0.7938598394393921
Weve reduced the nuclear threat through diplomacy and international cooperation.,0,"foreign-policy,nuclear",barack-obama,a national security speech,0.09636159986257553,0.047959525138139725,0.23926445841789246,0.25877395272254944,0.26725485920906067,0.0836106538772583,0.00677492143586278,neutral,0.26725485920906067
We have the worst trade deals ever negotiated in the history of our country.,1,"trade,economy",donald-trump,a campaign rally,0.03724119812250137,0.9358038306236267,0.002388792810961604,0.00045548100024461746,0.017684364691376686,0.005092971492558718,0.0013332683593034744,disgust,0.9358038306236267
Wind energy jobs have tripled in the last eight years of this administration.,0,"energy,jobs",barack-obama,remarks on clean energy,0.014075943268835545,0.007174261379987001,0.007129365112632513,0.05635008588433266,0.7832866311073303,0.0055419281125068665,0.1264418214559555,neutral,0.7832866311073303
Hillary Clinton wants to abolish the Second Amendment and take away guns.,1,"guns,second-amendment",donald-trump,a campaign rally,0.2762959897518158,0.2987091541290283,0.01781279779970646,0.005523167550563812,0.319900244474411,0.06718502938747406,0.014573662541806698,neutral,0.319900244474411
"Mexico will pay for the border wall, 100 percent, no doubt about it.",1,"immigration,mexico",donald-trump,a campaign announcement,0.046175267547369,0.01705935411155224,0.006513191387057304,0.016627060249447823,0.9007164239883423,0.00895697996020317,0.003951677121222019,neutral,0.9007164239883423
Small businesses create two out of every three new jobs in America.,0,"economy,small-business",john-kasich,a Republican primary debate,0.012444168329238892,0.006367914844304323,0.005722516216337681,0.03644626960158348,0.8273512125015259,0.0030487473122775555,0.10861910879611969,neutral,0.8273512125015259
"The auto industry has added nearly 700,000 jobs since we saved it from bankruptcy.",0,"jobs,auto-industry",hillary-clinton,a campaign speech in Michigan,0.008901476860046387,0.006707183085381985,0.004516231827437878,0.38582104444503784,0.5308055877685547,0.012072780169546604,0.05117565765976906,neutral,0.5308055877685547
Weve strengthened sanctions against Russia for their aggression in Ukraine.,0,"foreign-policy,russia",barack-obama,a press conference,0.700035810470581,0.15062259137630463,0.06403281539678574,0.0023706816136837006,0.018036967143416405,0.06359516829252243,0.0013059675693511963,anger,0.700035810470581
"Common Core is education through Washington D.C. bureaucrats, not local control.",1,"education,common-core",ted-cruz,a Republican primary debate,0.008681648410856724,0.016415873542428017,0.0021509891375899315,0.0021315538324415684,0.9579477906227112,0.0035687140189111233,0.00910335872322321,neutral,0.9579477906227112
"We have people pouring into the country, and theyre bringing drugs and crime.",1,"immigration,crime",donald-trump,a campaign speech,0.3020370304584503,0.6016875505447388,0.024783113971352577,0.0014825740363448858,0.018004128709435463,0.0484277717769146,0.0035778468009084463,disgust,0.6016875505447388
