text,true_label,rae_prediction,rae_response,dominant_emotion,emotion_intensity,inference_time,dataset_type,domain
Says Barack Obama wants to create a civilian national security force that is just as powerful as our military.,1,0,"Based on the given statement, ""Says Barack Obama wants to create a civilian national security force that is just as powerful as our military,"" it can be classified as REAL based on its factual content and emotional context. The statement accurately reflects the fact that President Obama has proposed creating a civilian national security force, which is just as powerful as our military. Additionally, the statement's emotional intensity of 0.77 indicates that it is likely to be true based on the given facts. Therefore, the statement can be classified as REAL.",neutral,0.7675986289978027,23.111488342285156,general,"military,obama"
"When I was governor, we created more jobs in Massachusetts than any other state in the country.",0,1,"Based on the given statement and the emotional context, the target statement is considered to be a FAKE due to its lack of factual accuracy. The statement claims that when Governor Baker was in office, he created more jobs than any other state in the country. However, there is no evidence provided to support this claim. Additionally, the statement's label ""REAL"" does not accurately reflect the emotional context of the statement. The statement's label ""FAKE"" is appropriate as it accurately reflects the factual accuracy of the statement.",joy,0.5409238338470459,9.923916578292847,general,jobs
Says the Affordable Care Act will cut Medicare by 500 billion and hurt seniors.,1,1,"Based on the given statement and its emotional context, it can be classified as a FAKE statement. The statement contains false information that is not backed by any facts or data. It claims that the Affordable Care Act (ACA) will cut Medicare by 500 billion and hurt senior citizens. This statement is based on misleading information and exaggerated claims, which are not supported by the facts. The ACA has actually reduced the federal deficit by more than half since President Obama took office, and it has also increased insurance premiums for working families. Therefore, the statement is an example of a FAKE statement that distorts the truth to suit political agendas.",sadness,0.7221403121948242,11.02973198890686,general,"health-care,medicare"
The unemployment rate when I took office was 10.6 percent. Today its 7.8 percent.,0,0,"Based on the given statement and the emotional context, the target statement is considered to be REAL. The statement accurately reflects the facts presented in the examples provided, including the creation of more jobs in Massachusetts than any other state in the country during Governor Baker's tenure, as well as the reduction of the federal deficit by more than half since he took office. These facts are supported by the factual content and emotional intensity of the statement.",neutral,0.5012941360473633,9.193191051483154,general,"economy,jobs"
We have a president that doesnt know hes African-American.,0,1,"Based on the given statement, ""We have a president that doesn't know he's African-American,"" it can be classified as a FAKE statement due to its lack of factual accuracy. The statement is based on an unsupported claim and lacks any evidence or supporting information. It is not true and does not represent the facts about President Barack Obama's race. Therefore, it cannot be considered ""REAL"" by the standard of being a FAKE statement.",surprise,0.4707155227661133,9.778459072113037,general,candidates-biography
Crime is rising across America in major cities.,1,1,"Based on the given examples, the target statement is considered to be FAKE due to its lack of factual content and emotional context. The statement does not mention any specific cities or regions where crime has been rising, nor does it provide any evidence to support this claim. Additionally, the statement's label of ""crime"" and ""major cities"" are vague and do not provide a clear indication of the type of crime being discussed. Overall, the statement is considered to be unreliable and lacking in credibility.",fear,0.7255610823631287,9.102526903152466,general,crime
Solar panel costs have dropped more than 80 percent since 2008.,0,0,"Based on the given statement, ""Solar panel costs have dropped more than 80 percent since 2008,"" it can be classified as a REAL statement based on its factual content. The factual accuracy of this statement is supported by the data provided in the given text. Specifically, the statement claims that solar panel costs have dropped more than 80% since 2008, which is supported by the passage's factual information about the decline in solar panel prices. This statement is not only true but also provides a clear and concise summary of the facts. Therefore, it can be considered as a REAL statement based on its factual content.",neutral,0.8789058327674866,10.97240400314331,general,"energy,environment"
ISIS is honoring President Obama for his weak foreign policy.,1,1,"Based on the given statement, ""ISIS is honoring President Obama for his weak foreign policy,"" it can be classified as a FAKE statement due to its lack of factual accuracy. The statement does not mention any specific actions or policies that President Obama has taken during his time in office, and instead focuses solely on the alleged honorific nature of ISIS's actions towards him. This lack of context and information makes it difficult to determine whether the statement is true or false. Therefore, based on the given statement, ""ISIS is honoring President Obama for his weak foreign policy"" can be classified as a FAKE statement.",neutral,0.7615846991539001,10.791988849639893,general,"terrorism,foreign-policy"
Manufacturing jobs grew at the fastest rate in more than 20 years under our administration.,0,0,"Based on the given text, the target statement is considered to be REAL due to its factual content and emotional context. The statement accurately states that manufacturing jobs grew at a faster rate than in any other year under President Trump's administration. The statement also includes an emotional element of optimism, as it highlights the positive impact of the administration's policies on small businesses and job creation. Therefore, the statement is considered to be REAL based on its factual accuracy and emotional context.",neutral,0.7237024903297424,8.957669496536255,general,"jobs,economy"
Vaccination is causing a tremendous increase in autism in children.,1,0,"Based on the given statement, ""Vaccination is causing a tremendoous increase in autism in children,"" it can be classified as REAL based on its factual content. The statement accurately reflects the current state of affairs regarding vaccination and autism rates among children. The emotional context of the statement is neutral, indicating that there is no strong feeling or emotion attached to it. The statement's factual accuracy is supported by the fact that according to recent studies, vaccinations are indeed causing a significant increase in autism rates among children. Therefore, the statement can be considered as REAL based on its factual content and emotional context.",disgust,0.7356798648834229,10.525859355926514,general,"health-care,vaccines"
